domain	strict	balanced	reward_block	source
8ce0zu.viqiyi.admaster.com.cn	1	1	0	Wei.G
8ceivu.vsohu.admaster.com.cn	1	1	0	Wei.G
8cf27a.viqiyi.admaster.com.cn	1	1	0	Wei.G
8cf3ha.vsohu.admaster.com.cn	1	1	0	Wei.G
8cffau.viqiyi.admaster.com.cn	1	1	0	Wei.G
8cgzvu.viqiyi.admaster.com.cn	1	1	0	Wei.G
8chzga.v.admaster.com.cn	1	1	0	Wei.G
8ci19u.vyk.admaster.com.cn	1	1	0	Wei.G
8ci2nu.vyk.admaster.com.cn	1	1	0	Wei.G
8ci46u.vyk.admaster.com.cn	1	1	0	Wei.G
8cifgu.vyk.admaster.com.cn	1	1	0	Wei.G
8cnvwu.viqiyi.admaster.com.cn	1	1	0	Wei.G
8csbxu.vsohu.admaster.com.cn	1	1	0	Wei.G
8csexa.vfs.admaster.com.cn	1	1	0	Wei.G
8dcn5u.viqiyi.admaster.com.cn	1	1	0	Wei.G
8dcyqu.c.admaster.com.cn	1	1	0	Wei.G
8dqc4u.viqiyi.admaster.com.cn	1	1	0	Wei.G
8dvzfa.vfs.admaster.com.cn	1	1	0	Wei.G
8gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
8le8le.com	1	1	0	Wei.G
8live.mobi	1	1	0	Wei.G
91adv.com	1	1	0	Wei.G
91adv.com.cn	1	1	0	Wei.G
92lottery.mobi	1	1	0	Wei.G
9308935.com	1	1	0	Wei.G
9aad7115.amy.gs	1	1	0	Wei.G
9ads.net	1	1	0	Wei.G
9ata.ero-advertising.com	1	1	0	Wei.G
9bet.mobi	1	1	0	Wei.G
9gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
9ibbcq2d.sina.cn	1	1	0	Wei.G
a-94interdads.com	1	1	0	Wei.G
a-ad.adwo.com	1	1	0	Wei.G
a-ads.com	1	1	0	Wei.G
a-bj.vlion.cn	1	1	0	Wei.G
a-iad3.1rx.io	1	1	0	Wei.G
a-qmad.qimao.com	1	1	0	Wei.G
a-qmad.qm989.com	1	1	0	Wei.G
a-remad.qm989.com	1	1	0	Wei.G
a.ad.gt	1	1	0	Wei.G
a.ad.playstation.net	1	1	0	Wei.G
a.ad7.com	1	1	0	Wei.G
a.ads.cn.miaozhen.com	1	1	0	Wei.G
a.ads.rmbl.ws	1	1	0	Wei.G
a.ads1.msads.net	1	1	0	Wei.G
a.ads1.msn.com	1	1	0	Wei.G
a.ads2.msads.net	1	1	0	Wei.G
a.ads2.msn.com	1	1	0	Wei.G
a.adskeeper.co.uk	1	1	0	Wei.G
a.adsrvr.org	1	1	0	Wei.G
a.adstome.com	1	1	0	Wei.G
a.advantageclicks.net	1	1	0	Wei.G
a.advertrek.com	1	1	0	Wei.G
a.alimama.cn	1	1	0	Wei.G
a.api.ad-locus.com	1	1	0	Wei.G
a.appjiagu.com	1	1	0	Wei.G
a.baidu.com	1	1	0	Wei.G
a.bf-ad.net	1	1	0	Wei.G
a.cntv.cn	1	1	0	Wei.G
a.cnzz.com	1	1	0	Wei.G
a.cookpad-ads.com	1	1	0	Wei.G
a.dlads.cn	1	1	0	Wei.G
a.global.msads.net	1	1	0	Wei.G
a.highroadsolution.com	1	1	0	Wei.G
a.kinkadservercdn.com	1	1	0	Wei.G
a.lubiao.com	1	1	0	Wei.G
a.mobile.toboads.com	1	1	0	Wei.G
a.myprettyads.one	1	1	0	Wei.G
a.one.impact-ad.jp	1	1	0	Wei.G
a.pinkads.org	1	1	0	Wei.G
a.rad.live.com	1	1	0	Wei.G
a.rad.msn.com	1	1	0	Wei.G
a.realsrv.com	1	1	0	Wei.G
a.rocoads.net	1	1	0	Wei.G
a.stat.xiaomi.com	1	1	0	Wei.G
a.teads.tv	1	1	0	Wei.G
a.teads.tv.edgekey.net	1	1	0	Wei.G
a.tn.token-ad.com	1	1	0	Wei.G
a.vlion.cn	1	1	0	Wei.G
a.vserv.mobi	1	1	0	Wei.G
a.youdao.com	1	1	0	Wei.G
a.zxcvads.com	1	1	0	Wei.G
a1.api.bbc.co.uk	1	1	0	Wei.G
a2znomads.com	1	1	0	Wei.G
a6-remad.qm989.com	1	1	0	Wei.G
a8clk.adventkk.co.jp	1	1	0	Wei.G
a8cv.adv.gr.jp	1	1	0	Wei.G
aa.birdgesdk.com	1	1	0	Wei.G
aa.toponad.com	1	1	0	Wei.G
aa0.pub.funshion.com	1	1	0	Wei.G
aa1.pub.funshion.com	1	1	0	Wei.G
aaa.japanxvideos.mobi	1	1	0	Wei.G
aad-marketing.ascendeventmedia.com	1	1	0	Wei.G
aads.shuzilm.cn	1	1	0	Wei.G
aads.treehugger.com	1	1	0	Wei.G
aadservice.sigmob.cn	1	1	0	Wei.G
aaid.umeng.com	1	1	0	Wei.G
aaid.uyunad.com	1	1	0	Wei.G
aalbc.advertserve.com	1	1	0	Wei.G
aaliceadsl.fr	1	1	0	Wei.G
aata.ero-advertising.com	1	1	0	Wei.G
aax-cpm.amazon-adsystem.com	1	1	0	Wei.G
aax-dtb-cf.amazon-adsystem.com	1	1	0	Wei.G
aax-eu-retail-direct.amazon-adsystem.com	1	1	0	Wei.G
aax-eu.amazon-adsystem.com	1	1	0	Wei.G
aax-fe-pek.amazon-adsystem.com	1	1	0	Wei.G
aax-fe-sin.amazon-adsystem.com	1	1	0	Wei.G
aax-fe.amazon-adsystem.com	1	1	0	Wei.G
aax-us-east-retail-direct.amazon-adsystem.com	1	1	0	Wei.G
aax-us-east-rtb.amazon-adsystem.com	1	1	0	Wei.G
aax-us-east.amazon-adsystem.com	1	1	0	Wei.G
aax-us-pdx.amazon-adsystem.com	1	1	0	Wei.G
aax-us-west.amazon-adsystem.com	1	1	0	Wei.G
aax-us.amazon-adsystem.com	1	1	0	Wei.G
aax.amazon-adsystem.com	1	1	0	Wei.G
aaxads.com	1	1	0	Wei.G
aaxads.com.edgekey.net	1	1	0	Wei.G
ab-config.propellerads.com	1	1	0	Wei.G
ab.advertiserurl.com	1	1	0	Wei.G
ab.hysdknb.com	1	1	0	Wei.G
abateadversity.com	1	1	0	Wei.G
abc-ads.com	1	1	0	Wei.G
abdikaadvertising.com	1	1	0	Wei.G
about-adverrtising.com	1	1	0	Wei.G
aboutads.quantcast.com	1	1	0	Wei.G
abroad-ad.kingsoft-office-service.com	1	1	0	Wei.G
abroadsuicidaleliminated.com	1	1	0	Wei.G
abtest-ch.snssdk.com	1	1	0	Wei.G
ac.mmstat.com	1	1	0	Wei.G
ac1.cloud.net.cn	1	1	0	Wei.G
ac1.dcloud.net.cn	1	1	0	Wei.G
ac2.dcloud.net.cn	1	1	0	Wei.G
ac3.msn.com	1	1	0	Wei.G
academic-advantage.com	1	1	0	Wei.G
acads.net	1	1	0	Wei.G
acceptable.a-ads.com	1	1	0	Wei.G
acceptancecrowdadvertising.com	1	1	0	Wei.G
access.pangolin-sdk-toutiao-b.com	1	1	0	Wei.G
accidentadvicehelpline.co.uk	1	1	0	Wei.G
account-worda-ads.cacaobliss.pt	1	1	0	Wei.G
accounts.doubleclick.net	1	1	0	Wei.G
accout.adst.site	1	1	0	Wei.G
acd.op.hicloud.com	1	1	0	Wei.G
acd.op.hihonorcloud.com	1	1	0	Wei.G
acdn.adnxs-simple.com	1	1	0	Wei.G
acdn.adnxs.com	1	1	0	Wei.G
ace-adserver.com	1	1	0	Wei.G
ace-tag.advertising.com	1	1	0	Wei.G
aceadsys.net	1	1	0	Wei.G
aclickads.com	1	1	0	Wei.G
acookie.alimama.com	1	1	0	Wei.G
acountcourse-ads.sbs	1	1	0	Wei.G
acs.56.com	1	1	0	Wei.G
acs.agent.56.com	1	1	0	Wei.G
acs.agent.v-56.com	1	1	0	Wei.G
